재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	184,693,378,058	155,238,417,983	67,988,718,816
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_SecuritiesAtFairValueThroughProfitOrLoss	         당기손익-공정가치 측정 금융자산	107,051,600,000	103,647,600,000	0
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00858364_udf_BS_202311913543885OfAssetsAbstract	         기타자산	1,086,120,014	922,449,944	2,113,078,968
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00858364_udf_BS_202391111717570OfAssetsAbstract	         대출채권 및 수취채권	107,174,230,574	59,248,455,663	199,167,331,546
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_Assets	         자산총계	7,050,462,051,075	6,968,997,944,637	6,915,786,817,905
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	11,791,135,289	14,095,601,815	14,666,993,733
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates	         관계기업 및 공동기업 투자	6,623,937,230,740	6,623,937,230,740	6,623,937,230,740
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	13,266,668,488	11,908,188,492	7,913,464,102
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_RecognisedAssetsDefinedBenefitPlan	         순확정급여자산	1,461,687,912	0	0
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_ElementsOfOtherStockholdersEquity	            기타자본구성요소	-5,490,755,089	-4,485,067,404	-3,933,474,597
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_HybridBonds	            신종자본증권	727,703,249,500	727,635,718,500	827,392,476,500
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_AdditionalPaidinCapital	            기타불입자본	2,256,391,584,360	2,276,280,170,430	2,270,038,313,795
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_Equity	            자본총계	5,286,238,119,271	5,283,937,093,683	5,347,543,937,675
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_IssuedCapital	            자본금	1,629,676,230,000	1,629,676,230,000	1,629,676,230,000
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_RetainedEarnings	            이익잉여금	677,957,810,500	654,830,042,157	624,370,391,977
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과부채총계	7,050,462,051,075	6,968,997,944,637	6,915,786,817,905
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00858364_udf_BS_202311913617294OfLiabilitiesAbstract	            기타부채	29,817,762,486	26,509,871,827	20,976,838,978
 재무상태표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_BondsIssued	            사채	1,648,353,454,522	1,618,376,304,316	1,368,661,050,620
