재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융부채	153,890,772		
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	244,309,462,783	251,386,575,669	351,874,202,330
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_FinancialAssetsAtFairValueThroughProfitOrLossInAccordanceWithIas39OfAssetsAbstract	         당기손익인식금융자산	0	0	1,148,185,347,560
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_FinancialAssetsAvailableForSaleOfAssetsAbstract	         매도가능금융자산		0	2,197,949,748,473
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_HeldToMaturityInvestmentsOfAssetsAbstract	         만기보유금융자산	0	0	3,169,606,121,657
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_LoansOfAssetsAbstract	         대출채권	0	0	3,533,214,274,525
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_Assets	         자산총계	11,129,301,411,583	10,230,555,043,163	11,297,581,644,124
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_CurrentTaxAssets	         당기법인세자산	0	0	0
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_DeferredTaxAssets	         이연법인세자산	0	0	0
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialAssetsHeldForHedging	         위험회피목적파생상품자산	62,464,550,609	73,102,556,217	67,239,267,075
 재무상태표, 보험 - 별도	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	288,473,994,776	222,063,641,221	0
