재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융부채	153,890,772		
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	274,677,822,074	266,812,342,859	371,610,653,745
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_udf_BS_20242231362726OfAssetsAbstract	         당기손익인식금융자산	0	0	1,148,185,347,560
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_udf_BS_202422313629758OfAssetsAbstract	         매도가능금융자산	0	0	2,429,891,660,055
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_udf_BS_202422313643694OfAssetsAbstract	         만기보유금융자산	0	0	3,169,606,121,657
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_udf_BS_20242231379310OfAssetsAbstract	         대출채권	0	0	3,722,847,223,678
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_Assets	         자산총계	11,232,068,800,034	10,321,971,588,094	11,423,055,647,955
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_CurrentTaxAssets	         당기법인세자산	0	0	0
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_DeferredTaxAssets	         이연법인세자산	0	0	0
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialAssetsHeldForHedging	         위험회피목적파생상품자산	62,464,550,609	73,163,061,570	82,579,366,670
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	297,794,835,525	233,984,352,146	0
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	7,316,999,322,877	6,555,448,420,241	0
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	2,980,421,367,388	2,881,505,997,482	0
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	29,934,908,451	34,913,586,739	33,516,910,566
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_InvestmentProperty	         투자부동산	201,370,466,385	199,722,655,961	197,323,864,206
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타자산	41,344,220,681	45,108,709,712	233,371,567,302
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	27,061,306,044	31,312,461,384	34,122,932,516
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_CapitalAdjustments	            자본조정	-104,047,417,500	-104,047,417,500	-103,912,082,500
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_CapitalSurplus	            자본잉여금	154,491,703,941	154,491,703,941	154,491,703,941
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_HybridBonds	            신종자본증권	39,839,480,000	39,839,480,000	69,704,145,000
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_AccumulatedOtherComprehensiveIncome	            기타포괄손익누계액	-1,086,039,268,811	-276,651,483,323	1,100,179,044,406
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_Equity	            자본총계	1,123,668,452,435	1,788,805,511,466	3,126,902,932,303
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_IssuedCapital	            자본금	253,333,575,000	253,333,575,000	253,333,575,000
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_RetainedEarnings	            이익잉여금	1,866,090,379,805	1,721,839,653,348	1,653,106,546,456
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과부채총계	11,232,068,800,034	10,321,971,588,094	11,423,055,647,955
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_PolicyholdersEquityAdjustment	            계약자지분조정	0	0	0
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_FinancialliabilitiesAtFairValueThroughProfitOrLossInAccordanceWithIas39OfLiabilitiesAbstract	            당기손익인식금융부채	0	0	594,501,000
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	entity00168933_NonControllingInterestsLiabilitiesOfLiabilitiesAbstract	            비지배지분	67,814,546,249	49,923,310,283	72,712,046,860
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_Borrowings	            차입부채	23,500,000,000	68,344,880,510	422,556,315,654
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_DeferredTaxLiabilities	            이연법인세부채	72,501,859,898	264,503,172,481	682,835,714,935
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialLiabilitiesHeldForHedging	            위험회피목적파생상품부채	304,136,357,663	57,266,751,466	131,002,322,840
