재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	471,635,655,588	478,081,181,793	343,895,633,089
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_Assets	         자산총계	8,128,729,338,244	5,807,547,235,923	3,914,294,508,604
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_CurrentTaxAssets	         당기법인세자산	1,507,384,200	20,736,673,276	3,945,202,564
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_DeferredTaxAssets	         이연법인세자산	33,636,414,329	0	11,547,481,960
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialAssets	         파생상품자산	215,028,274,323	77,412,987,197	88,528,715,705
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	1,035,757,319,995	802,820,682,380	944,553,704,198
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	1,187,025,366,990	401,609,395,005	22,570,159,494
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	5,105,749,977,097	3,948,899,670,074	2,427,929,183,961
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	6,271,508,540	6,030,601,457	5,319,021,289
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_InvestmentAccountedForUsingEquityMethod	         지분법적용 투자지분	46,092,484,271	43,263,421,440	36,280,698,755
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타비금융자산	11,630,144,312	11,812,056,751	9,223,767,940
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	14,195,305,994	16,726,359,426	19,924,058,714
 재무상태표, 증권 - 연결	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-12-31	사업보고서	KRW	ifrs-full_RecognisedAssetsDefinedBenefitPlan	         순확정급여자산	199,502,605	154,207,124	576,880,935
