재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_CashAndCashEquivalentsAtBeginningOfPeriodCf	      기초현금및현금성자산	155,238,417,983	67,988,718,816	51,799,136,753
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_CashAndCashEquivalents	      기말현금및현금성자산	184,693,378,058	155,238,417,983	67,988,718,816
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_CashFlowsFromUsedInFinancingActivities	         재무활동순현금흐름	-234,435,557,186	-129,271,573,056	-243,398,492,355
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_CashInflowFromIssuanceOfHybridBond	            신종자본증권의 발행	199,420,480,000	149,487,602,000	0
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_CashOutflowForRepaymentOfHybridBond	            신종자본증권의 상환	200,000,000,000	250,000,000,000	0
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_DividendsPaidToHybridBond	            신종자본증권분배금의 지급	32,575,000,000	25,677,863,013	30,187,500,000
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00858364_AcquisitionOfTreasurySharesOfCashFlowsFromUsedInFinancingActivities	            자기주식의 취득	-32,995,952,870	-15,999,878,770	0
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00858364_ProceedsFromIssuanceOfDebenturesOfCashFlowsFromUsedInFinancingActivities	            사채의 발행	499,010,686,800	648,761,841,800	299,326,663,200
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00858364_udf_CF_202391168030OfCashFlowsFromUsedInFinancingActivities	            사채의 상환	-470,000,000,000	-400,000,000,000	-330,000,000,000
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_DividendsPaidClassifiedAsFinancingActivities	            보통주배당금의 지급	196,143,604,980	234,978,636,925	181,681,726,240
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities	            리스부채의 상환	1,151,435,896	863,907,908	855,929,315
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProceedsFromSaleOrIssueOfTreasuryShares	            자기주식의 소각	-730,240	-730,240	0
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_CashFlowsFromUsedInInvestingActivities	         투자활동순현금흐름	-2,636,018,308	-107,066,708,490	-53,158,708,640
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_DecreaseInGuaranteeDeposits	            임차보증금의 증감	642,480,200	-3,558,417,000	222,490,000
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_PurchaseOfFairValueFinancialAsset	            당기손익-공정가치 측정 금융자산 취득	0	100,000,000,000	0
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities	            종속기업 투자주식의 취득	0	0	50,000,000,000
 현금흐름표, 기타 - 별도	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities	            유형자산의 처분	16,700,000	0	0
