재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의 재측정손익(세후기타포괄손익)		-74,240,766			-342,395,323	
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익		1,164,030,344			2,180,508,808	1,452,134,065
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	dart_OtherGains	      기타영업외이익		3,029,770,418			610,505,100	941,344,690
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	dart_OtherLosses	      기타영업외비용		672,484,796			1,226,257,397	1,225,803,071
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		3,512,912,033			3,122,503,222	3,238,045,515
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	entity00378363_udf_IS_20196279058268_TotalSellingGeneralAdministrativeExpenses	         판매비		718,110,117			837,259,951	556,650,284
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	entity00378363_udf_IS_20196279058830_TotalSellingGeneralAdministrativeExpenses	         관리비		2,794,801,916			2,285,243,271	2,681,395,231
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	entity00378363_udf_IS_2019626132256248_StatementOfComprehensiveIncomeAbstract	      관계기업투자이익		-817,022,670			39,243,470	268,395,488
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익		2,627,346,791			1,092,695,504	931,946,139
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	         비지배지분						-334,779,648
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent	         지배기업 소유주지분		2,627,346,791			1,092,695,504	1,266,725,787
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		38,918,409,215			36,554,742,995	22,420,448,835
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본및희석주당이익(손실)		54			30	33
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융비용		360,496,436			378,614,229	240,241,825
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[060310]	3S	코스닥시장상장법인	262	전자부품 제조업	03	2024-03-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		261,288,757			209,405,496	37,074,119
